cliente,cod_cliente,mes,articulo,descripcion,m2,ingresos,cv_pintura,cv_quimicos,cv_mod,cmg,cmg_por_m2
SIN FIN SH,10014,4,000126,ESCALERA BRASILERA 3 ESCALONES,31.0,54330.91,30962.426807170817,3406.7925662110874,6632.0621326096225,13329.628494008477,429.98801593575735
SIN FIN SH,10014,4,000127,ESCALERA BRASILERA 4 ESCALONES,51.8,90785.198,51737.21640682091,5692.640481604333,11081.96188610253,22273.37922547223,429.98801593575735
SIN FIN SH,10014,4,000130,ESCALERA BRASILERA 7 ESCALONES,19.8,34701.67800000001,19776.00163812846,2175.95138099934,4235.962265344211,8513.762715527997,429.9880159357574
SIN FIN SH,10014,4,000136,ESCALERA BUTACA ECONOMICA,11.4,19979.754,11386.182761346688,1252.8204920905291,2438.8873648951517,4901.863381667632,429.9880159357572
STARA ARGENTINA S.A.,10033,4,000441,8083-4106 (SIN FIN DERECHO 8365),23.94,508738.4529534763,23910.983798828045,2630.923033390111,5121.663466279819,477074.8826549783,19927.939960525408
STARA ARGENTINA S.A.,10033,4,000446,8094-4106 - AR (SIN FIN DERECHO 9480),31.22,663442.5439100888,31182.160158705577,3430.9698037777466,6679.128380002336,622150.2855676032,19927.939960525408
STARA ARGENTINA S.A.,10033,4,000581,8083-4107 (SIN FIN IZQUIERDO 8365),7.98,169579.48431782544,7970.327932942682,876.9743444633702,1707.2211554266062,159024.96088499276,19927.939960525408
STARA ARGENTINA S.A.,10033,4,000582,8094-4107 - AR (SIN FIN IZQUIERDO 9480),13.38,284332.51881860953,13363.782925159534,1470.415630190463,2862.4835914295727,266635.8366718299,19927.939960525404
ANSA,10011,5,000105,"MENSULAS 0,43 A 0,53 M DE LARGO",109.8,399226.56011525996,147160.60586107444,15305.447001765246,24230.141584173594,212530.36566824667,1935.6135306761992
ANSA,10011,5,000124,MENSULAS LARGA (T DE 65),97.03,352795.56582863093,130045.47893169447,13525.38727305357,21412.118742371254,187812.58088151162,1935.6135306761994
ANSA,10011,5,000616,CARRETILLA NEGRA,26.08,94825.39788530035,34953.994543322595,3635.3921475959705,5755.210314346514,50480.80088003527,1935.6135306761992
ANSA,10011,5,000617,ANDAMIO NEGRO,16.96,61665.59617080882,22730.818537375435,2364.120046902902,3742.652106262151,32828.00548026834,1935.613530676199
AXEL,10000,5,000008,MUEBLE SECARROPA BLANCO,3617.6,10605789.89555995,4848526.482359042,504271.2666082509,798314.7558734643,4454677.390719192,1231.3902561696132
AXEL,10000,5,000009,TAPA SECARROPA BLANCO,1620.0,4749386.231426117,2171222.053687983,225818.07051784787,357493.892225512,1994852.214994774,1231.3902561696136
AXEL,10000,5,000012,JUEGO SOPORTE SECARROPA BLANCO (I+D),132.0,386987.0262643502,176914.38955976162,18399.990931083903,29129.131959115795,162543.5138143889,1231.3902561696127
AXEL,10000,5,000013,CARACOL SECARROPA BLANCO,225.6,661396.0085245258,302362.7748839562,31447.257227670667,49784.334621034264,277801.64179186465,1231.390256169613
AXEL,10000,5,000019,FRENTE HORNO 45 NEGRO,360.0,1055419.162539137,482493.7897084408,50181.793448410644,79443.0871612249,443300.49222106073,1231.3902561696132
AXEL,10000,5,000421,CONJUNTO PURIFICADOR BLANCO,1065.06,3122457.5923720365,1427457.876852422,148462.8359171229,235032.37336648384,1311504.506236008,1231.390256169613
AXEL,10000,5,000426,FRENTE HORNO 60 NEGRO,332.36,974386.4246152989,445448.9887430483,46328.94686253823,73343.62346917974,409264.8655405326,1231.3902561696132
AXEL,10000,5,000511,CONJUNTO PURIFICADOR NEGRO,915.0,2682523.704786973,1226338.3821756202,127545.39168137705,201917.84653477994,1126722.0843951958,1231.390256169613
AXEL,10000,5,000550,CONJUNTO PURIFICADOR MARRON,1105.32,3240488.6353826635,1481416.765668149,154074.83315110346,243916.75861401414,1361080.2779493968,1231.3902561696132
AXEL,10000,5,000553,CONJUNTO PURIFICADOR PLATIL,915.0,2682523.704786973,1226338.3821756202,127545.39168137705,201917.84653477994,1126722.0843951958,1231.390256169613
AXEL,10000,5,000576,CONJUNTO CAÑO ESTUFA EXTERIOR,117.8,345356.6037419731,157882.69007681755,16420.597967285485,25995.5435210897,145057.77217678036,1231.3902561696125
DANES SRL,10016,5,000150,PALA ALUMINIO ROJO,50.0,714437.9525812936,67013.02634839455,6969.693534501478,11033.76210572568,629421.4705926719,12588.429411853438
DANES SRL,10016,5,000163,RIENDA SOPORTE TRAVESAÑO PORTA AUX (ESTRELLITA),43.6,622989.894650888,58435.358975800045,6077.572762085289,9621.440556192792,548855.5223568099,12588.429411853438
DANES SRL,10016,5,000167,SOPORTE TANQUE AGUA (GRAFITO),28.8,411516.26068682515,38599.503176675265,4014.5434758728516,6355.446972897992,362546.76706137904,12588.429411853438
DANES SRL,10016,5,000168,TANQUE DE AIRE (GRAFITO),260.82,3726794.13584506,349566.7506437653,36356.70935337351,57556.516648307435,3283314.159199614,12588.42941185344
DANES SRL,10016,5,000295,PORTA BALDE DOBLE (GRAFITO),1.75,25005.328340345277,2345.4559221938093,243.93927370755173,386.1816737003988,22029.75147074352,12588.42941185344
DANES SRL,10016,5,000298,PORTA BALDE DOBLE (ESTRELLITA),1.75,25005.328340345277,2345.4559221938093,243.93927370755173,386.1816737003988,22029.75147074352,12588.42941185344
DANES SRL,10016,5,000306,SOPORTE GUARDABARRO PARA TANQUE Y TOLVA (GRAFITO),21.89,312780.9356400904,29338.302935327134,3051.331829404747,4830.581049886702,275560.7198254718,12588.42941185344
DANES SRL,10016,5,000307,SOPORTE MATAFUEGOS DOBLE (GRAFITO),13.0,185753.86767113634,17423.38685058258,1812.1203189703842,2868.7781474886765,163649.5823540947,12588.429411853438
